Year,Net FDI Inflow
1973,3399999.9
1974,110000
1975,1320000
1976,3210000
1977,650000
1978,22970508.34
1979,145171539.9
1980,-418036875
1981,4150000
1982,28457446.88
1983,64095744.85
1984,140691489.5
1985,101329787.2
1986,-31914893.62
1987,-35904255.32
1988,222074468.1
1989,180851063.8
1990,91755319.15
1991,619414893.6
1992,868617021.3
1993,-275000007.9
1994,208244700.2
1995,430586743.7
1996,2048151880
1997,329284164.2
1998,179454413.3
1999,453737838
2000,363562321.9
2001,80358858.37
2002,216986881.6
2003,516700276.4
2004,865308118.6
2005,1048601306
2006,2914659868
2007,1756312515
2008,1793998355
2009,257149561.4
2010,155771009.2
2011,780851063.8
2012,1544680851
2013,3727712766
2014,1518617021
2015,64893617.02
2016,243351063.8
2017,518882978.7
2018,111170212.8
2019,1501329787
2020,1021276596
2021,1765957447
